date,creator_tag,Spend,Campaign Name,Adset Name,Ad Name,ROAS,CTR,Hook Rate,Website Purchase,CPM,Frequency,Impressions,Thruplays,Video avg play time,Hold Rate
2026-03-07,Plyska,£0.80,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H2 - Copy,0,0.00%,29.73%,0,£10.81,1.04,74,1,3,1.67%
2026-03-07,Plyska,£0.24,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H3 - Copy,0,0.00%,21.05%,0,£12.63,1,19,1,3,6.25%
2026-03-07,Plyska,£0.05,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H3 - Copy,0,0.00%,100.00%,0,£25.00,1,2,0,8,0.00%
2026-03-07,Plyska,£0.16,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H1 - Copy,0,0.00%,33.33%,0,£17.78,1,9,0,3,0.00%
2026-03-07,Plyska,£0.07,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H1 - Copy,0,0.00%,46.15%,0,£5.38,1.08,13,1,6,7.69%
2026-03-07,Plyska,£10.39,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H2 - Copy,0,0.44%,25.18%,0,£15.30,1.08,679,19,3,3.37%
2026-03-08,Plyska,£0.89,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H2 - Copy,0,5.08%,32.20%,0,£15.08,1,59,3,5,6.82%
2026-03-08,Plyska,£0.24,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H4 - Copy,0,0.00%,16.67%,0,£10.00,1.04,24,0,2,0.00%
2026-03-08,Plyska,£0.18,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H5 - Copy,0,0.00%,0.00%,0,£20.00,1,9,0,1,0.00%
2026-03-08,Plyska,£0.17,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H1 - Copy,0,0.00%,14.29%,0,£12.14,1.17,14,0,2,0.00%
2026-03-08,Plyska,£0.10,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H1 - Copy,0,0.00%,42.86%,0,£14.29,1,7,1,13,16.67%
2026-03-08,Plyska,£0.08,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H3 - Copy,0,0.00%,33.33%,0,£26.67,1,3,0,3,0.00%
2026-03-08,Plyska,£0.04,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H2 - Copy,0,0.00%,16.67%,0,£6.67,1,6,1,12,25.00%
2026-03-08,Plyska,£0.02,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H1 - Copy,0,0.00%,33.33%,0,£6.67,1,3,1,6,33.33%
2026-03-08,Plyska,£0.01,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H6 - Copy,0,0.00%,0.00%,0,£10.00,1,1,0,2,0.00%
2026-03-08,Plyska,£0.01,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H2 - Copy,0,0.00%,0.00%,0,£10.00,1,1,0,1,0.00%
2026-03-08,Plyska,£0.01,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H3 - Copy,0,0.00%,33.33%,0,£3.33,1,3,0,4,0.00%
2026-02-07,Plyska,£0.32,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,35.00%,0,£16.00,1.05,20,2,7,11.76%
2026-02-08,Plyska,£0.11,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,40.00%,0,£11.00,1,10,1,11,12.50%
2026-02-09,Plyska,£1.29,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,2.63%,43.42%,0,£16.97,1.04,76,11,9,16.42%
